Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
153010,1.123,0.857
153011,0.308,0
15302,1.21,3.736
153022,5.98,5.983
153039,0.564,0.137
15304,1.422,16.367
15306,11.559,19.641
15310,0.127,0.309
15311,9.664,17.138
15312,3.058,8.129
15315,4.114,14.664
153165,7.819,9.941
153197,0.117,0
15320,3.196,4.746
153215,1.701,0
15322,4.679,19.834
153225,1.029,0
15327,7.208,27.252
153284,0.439,0.204
153286,0.561,0
153312,3.839,2.164
15332,3.736,20.58
15335,8.828,26.372
15338,0.624,1.511
15339,10.531,13.117
153416,0.092,0
153418,0.384,0.064
153420,0.704,0
15343,0.257,0.597
15345,0.239,0.845
15347,4.316,10.847
153529,1.765,0.233
153543,0.105,0
153544,12.098,16.193
153569,0.149,0
153594,2.374,1.786
1536,0.155,0.293
15362,0.095,0.243
153622,0.088,0.077
15364,5.94,17.634
153762,0.56,0
15381,4.892,11.904
153828,3.005,0.985
153835,0.312,0.284
153866,8.562,5.875
153885,11.925,13.016
153899,7.407,5.794
153959,9.204,6.18
15396,0.129,2.446
153962,0.324,0
154003,9.786,5.997
15410,2.33,11.999
154122,14.795,11.602
154132,1.367,1.511
15416,4.689,18.374
154196,5.201,2.457
154197,0.267,0.205
154202,6.807,9.589
154204,0.358,0
154207,2.767,0.084
154219,0.213,0.419
154232,0.653,0
154259,7.725,6.03
154276,0.499,0
15428,0.825,0.903
154284,19.302,28.277
154291,3.504,3.496
15430,4.051,7.172
154307,9.822,7.852
15437,17.431,5.419
154378,0.339,0.184
154382,0.307,0.084
154395,2.514,0.912
154396,4.461,4.279
1544,0.08,0.287
15440,11.744,26.819
154434,0.085,0.075
154469,0.307,0.161
154474,5.098,4.985
154520,0.213,0.144
154539,4.942,9.918
154559,3.903,1.799
15457,2.447,6.041
154573,0.527,0.086
15458,23.811,16.223
15459,4.019,4.961
154598,0.839,0.014
15461,0.07,0.316
154637,0.223,0.067
154644,0.1,0.096
154669,1.824,1.093
154695,0.353,0.449
154722,0.411,0.271
154739,0.452,0
154766,7.299,5.281
154778,0.878,1.043
154794,0.134,0
154795,0.069,0.074
154817,1.875,0.018
154822,4.265,5.157
15485,20.868,20.194
154855,14.342,14.081
154861,6.07,4.064
154864,12.188,8.892
154879,0.498,0.701
154892,0.833,0
154893,0.166,0.203
1549,4.522,12.121
15490,8.953,33.316
154923,4.56,0.776
154926,0.364,0.525
154939,3.447,2.031
154945,3.997,1.854
154957,7.85,4.881
154964,0.254,0
154970,8.467,11.212
154980,0.238,0
154983,5.526,1.96
154992,4.376,5.038
154998,0.3,0.195
154999,0.838,0
15500,19.506,12.245
15502,9.766,34.903
155024,12.964,20.693
155029,4.454,0.166
155035,3.117,0.981
155036,11.782,3.235
155058,6.562,4.95
155064,15.814,12.052
155074,3.992,4.736
15508,3.683,13.217
155081,1.117,0.035
155089,12.694,12.935
15509,7.119,29.782
155093,9.567,10.408
155101,3.282,17.917
155106,12.997,11.844
155108,0.815,0.012
155113,0.406,0
155116,1.597,0.116
155125,5.302,8.972
155131,0.174,0.224
15515,0.348,2.263
155162,7.042,6.101
15518,14.905,3.34
155193,6.282,5.207
15520,7.788,62.891
155200,0.102,0
155204,0.123,0
155205,5.108,7.047
155219,0.348,0
155227,6.491,4.292
15523,18.671,44.474
155235,5.968,1.575
155243,0.424,0.165
155248,5.168,3.826
15526,1.391,21.682
155261,12.945,11.868
155262,2.54,0
155263,3.115,0.106
155268,5.914,3.725
155288,1.097,0.673
155295,8.381,1.945
15530,8.296,24.353
155307,0.649,0.069
15532,10.261,15.003
155330,3.739,0.19
15535,10.639,16.746
155358,0.659,0
15536,6.194,38.268
15538,2.247,6.801
15541,0.077,0.729
155424,1.041,0.681
155425,0.539,0
155426,1.329,2.396
155432,8.212,2.444
155442,9.799,3.816
155444,0.355,0.119
155448,0.952,0.048
15545,1.588,6.152
155451,0.102,0
155458,0.589,0.028
155468,0.069,0
15548,0.348,0.639
155521,7.214,11.089
15555,0.731,2.047
155566,25.429,28.11
155567,3.409,1.029
155570,2.669,0
155575,1.183,0
155585,5.057,0.432
155590,2.17,0
155599,0.226,0.021
15560,0.617,3.781
155600,0.173,0.085
155602,0.53,0
155607,0.446,0
155616,11.346,14.287
15562,7.009,31.988
155622,0.442,0
155627,9.986,7.609
15565,15.88,35.973
155653,1.612,0.583
15566,9.962,11.765
155674,0.091,0
155675,0.319,0
155676,18.71,23.283
155699,3.764,0.954
155706,5.61,2.836
15573,2.491,20.273
15574,7.833,34.113
155742,11.217,8.462
155759,11.156,9.324
15576,12.895,30.664
15577,0.672,1.871
155786,7.325,0.293
155787,0.809,0
1558,0.079,0.356
155807,15.49,26.331
15581,10.524,22.014
155820,4.121,6.204
155828,1.595,0.05
15583,3.563,5.655
155837,7.418,0.887
155839,22.484,23.857
155840,9.715,7.578
155872,0.85,0
155873,1.952,0.122
155897,0.1,0.036
15591,6.014,20.893
155912,13.952,12.736
15594,18.051,21.446
155949,12.191,8.53
15596,11.544,29.882
155973,0.644,0.475
156,0.109,0.217
15600,3.792,10.632
156015,9.721,5.416
156021,7.86,7.885
156027,13.522,11.967
156038,7.381,4.119
156060,20.039,21.993
156069,9.69,12.4
156073,10.037,10.512
156074,19.304,12.42
15608,0.338,1.028
156082,13,10.936
156105,7.29,12.991
15612,9.819,29.343
156124,8.61,3.295
156156,0.694,0
156159,12.382,8.365
15616,0.58,2.685
156160,7.448,2.148
156168,6.715,5.685
15618,11.661,24.503
15619,1.035,2.616
156194,1.633,0.368
156195,20.754,33.526
15621,1.604,4.07
15622,5.75,16.71
15624,18.02,38.913
156248,0.931,1.128
15625,22.664,59.011
156257,26.083,35.327
156258,0.089,0.032
156264,0.189,0
156273,6.703,0.533
15628,1.228,53.019
156284,15.582,12.567
15629,8.754,33.338
156330,23.264,21.366
156333,4.355,0.387
156338,5.242,0.378
15634,13.437,70.344
156349,0.214,0
156351,11.022,10.124
15636,6.463,21.939
15638,1.352,3.276
15639,7.194,16.064
156391,3.104,0.815
156402,16.899,24.499
156423,0.503,0.26
156442,11.93,13.484
156447,0.75,0.643
156473,18.345,31.629
156489,1.725,0
156490,14.591,12.2
15650,21.989,33.066
15651,6.784,16.135
156510,0.373,0.333
15652,14.014,28.402
156522,0.804,0.442
15654,0.34,12.226
156545,23.542,45.353
156549,8.746,8.296
156555,0.103,0
156562,0.223,0.07
156566,12.28,13.376
156602,0.156,0
156609,1.224,1.05
15662,0.87,20.476
156635,0.821,0.088
156658,1.066,0
15666,23.436,36.14
156660,12.053,9.592
156701,12.671,13.073
156710,7.693,7.806
156735,0.146,0.088
156753,1.215,1.487
15681,8.51,49.152
156815,13.857,12.127
15683,10.837,27.881
15686,6.171,39.677
15687,0.297,2.187
15689,8.464,41.492
156910,9.28,20.616
15693,10.971,32.939
156950,9.654,3.093
15700,0.944,2.255
157008,0.512,0
157016,0.205,0.03
15702,0.165,0.363
15704,7.686,21.256
157063,13.736,4.359
157077,3.315,1.674
157090,18.709,14.225
157136,19.062,23.666
15714,6.606,26.494
15715,16.118,48.163
15718,16.06,29.299
157185,10.811,6.298
15720,14.238,68.677
157265,6.546,1.527
157298,1.035,1.273
15744,10.24,22.777
15745,0.726,1.168
15748,12.13,50.165
15755,7.749,14.832
15756,6.89,20.706
15760,17.091,37.111
15767,5.757,1.008
15797,0.532,3.897
15799,11.312,1.545
15803,15.75,7.447
15808,5.28,31.783
15822,0.14,0.1
15826,3.987,11.175
15837,5.761,18.876
15851,13.003,20.069
15869,2.08,15.805
15897,0.228,0.647
15899,0.101,0.246
15912,3.87,2.004
15923,0.168,0.19
159363,4.693,9.7
15961,0.113,0.154
1598,0.141,0.035
16011,0.066,0.202
160192,0.196,0.167
160448,12.133,6.748
1605,0.328,0.407
1610,0.132,0.118
16110,0.182,0.2
16111,0.078,0.116
1612,0.186,0.186
161337,0.221,0.374
1617,0.067,0.081
16195,0.204,0.036
16200,0.336,0.384
162136,0.595,0.632
16218,0.139,0.132
16223,0.126,0.676
16239,0.218,0.018
1624,0.082,0.111
16240,0.234,0.156
16242,0.203,0.215
16245,0.117,0.06
16247,0.242,0.108
16248,0.185,0.318
16254,0.08,0.069
162548,5.892,1.758
1626,0.1,0.13
162615,8.857,6.74
162638,18.722,13.338
162660,12.174,7.567
162712,21.554,15.522
162715,14.516,8.753
162731,14.486,10.172
162797,6.264,6.826
162833,15.54,14.095
162845,0.36,0.293
162874,1.487,1.49
162879,20.742,13.004
162894,0.488,1.308
162912,25.881,15.148
162919,11.593,9.971
162937,28.452,35.609
162970,24.723,21.611
162985,10.419,11.407
16299,0.149,0.141
162990,12.306,14.342
163002,19.016,20.694
163010,8.498,9.613
163038,1.05,0.993
163048,12.088,22.516
163053,9.716,12.102
163093,19.81,19.146
163102,18.179,19.264
163107,0.715,0.898
16311,0.128,0.096
163110,9.735,12.507
163127,13.22,14.828
16316,0.066,0.03
163163,12.734,9.431
163171,19.621,22.413
1632,0.111,0.11
163223,7.13,9.689
163239,1.571,4.229
16331,0.174,0.077
16335,0.122,0.301
16351,0.113,0.195
163518,14.076,21.871
16362,0.212,0.249
163629,12.925,20.776
16363,0.123,0.023
163638,10.934,13.63
163695,17.175,22.424
16374,0.066,0.002
163753,0.255,0.487
163839,22.844,35.693
163861,12.966,21.655
163904,6.299,30.381
163921,17.817,26.977
163924,1.747,1.169
163946,0.275,0.42
163954,10.527,13.96
164003,1.023,1.272
164037,18.983,11.034
16406,0.157,0.227
164077,11.939,10.016
16414,0.133,0.089
164202,19.983,29.523
164273,14.191,13.203
164290,2.801,8.302
164300,4.608,7.962
164310,4.427,8.516
164326,18.125,19.458
164442,5.294,27.916
164464,6.909,7.917
164544,4.859,10.658
16455,0.115,0.117
16457,0.137,0.064
164690,4.069,5.117
16473,0.142,0.073
164766,8.545,10.269
164811,0.261,0.299
164828,17.044,14.712
164907,19.883,18.67
164924,16.384,15.782
164935,0.131,0
164952,6.849,6.632
164982,10.881,8.555
1650,0.12,0.069
16508,0.261,0.145
165080,13.379,17.782
1651,0.21,0.306
165103,13.789,19.39
165121,11.408,13.618
165136,6.552,6.573
165155,0.563,0.723
165218,8.514,15.629
16533,0.114,0.059
165390,0.103,0.115
165394,0.174,0.315
165397,1.498,1.505
165517,17.512,19.161
165589,0.072,0.026
165592,5.564,6.798
165663,16.194,12.377
165685,17.187,14.499
165687,2.027,3.658
165723,11.332,9.515
16573,0.243,0.28
165765,1.111,1.19
165771,8.734,13.124
165881,9.532,9.445
16598,0.145,0
165983,10.319,16.568
166007,12.633,15.895
166061,0.313,0.281
16610,0.09,0.192
16611,0.154,0.046
16612,0.077,0
166123,7.004,11.891
16614,0.077,0.391
166156,17.277,11.444
1662,0.13,0.208
16620,0.117,0.195
166203,7.49,11.165
166280,9.753,22.066
16629,0.07,0.055
166334,4.02,9.426
166338,8.018,4.558
16636,0.108,0.113
16640,0.08,0.125
16644,0.128,0.15
166516,0.331,1.884
166540,5.989,9.468
166720,17.103,31.655
166926,12.251,1.58
166940,7.724,6.954
167,0.1,0.148
167046,6.899,7.615
167070,4.45,9.87
167129,7.19,9.804
167160,4.185,4.372
167184,9.189,2.818
167210,7.9,8.138
167230,0.084,1.051
167288,12.059,10.261
167322,4.119,2.433
167332,1.252,2.067
167488,3.238,9.494
167513,7.881,10.42
167624,4.08,2.836
167651,1.166,0
167674,6.193,13.676
167725,9.469,23.672
167737,8.286,13.163
167775,8.414,13.949
167856,19.788,37.658
167874,0.131,0.368
167883,5.984,6.344
168021,1.592,2.043
168032,6.242,11.523
168075,11.674,16.06
168097,0.941,4.953
168208,3.154,6.979
168243,10.455,7.749
168258,18.625,6.08
168331,10.359,7.032
168413,9.823,4.921
168414,11.378,3.009
168461,13.226,27.338
168529,0.692,0.668
168551,7.404,8.77
168631,0.12,0.221
168661,14.663,12.707
168667,0.149,0.229
168672,4.15,10.886
168687,14.046,23.185
168693,2.053,3.111
168704,2.543,4.948
168718,1.187,0.461
168742,11.882,4.135
168786,2.52,4.874
168791,22.025,28.805
168858,10.166,3.86
168891,6.005,14.254
168905,5,9.307
168909,27.645,17.185
168954,1.559,3.816
168963,6.114,11.223
168984,24.422,9.208
169,0.156,0.18
169017,3.647,4.9
169040,9.989,9.969
169053,4.106,1.843
169099,0.852,6.55
169105,1.292,2.958
169221,1.642,5.458
169243,13.457,16.929
169290,14.506,16.068
169349,15.204,18.594
169358,3.381,15.562
169364,3.502,3.668
169384,22.552,22.511
169392,10.888,35.125
1694,0.176,0.182
169416,4.797,8.114
169420,0.114,2.301
169449,5.706,4.13
169470,9.178,9.703
169473,0.947,0.783
169497,1.892,1.609
169525,1.739,2.472
169539,1.05,1.291
169541,1.297,11.891
169553,9.113,15.103
169571,8.054,18.803
169580,5.688,8.437
169586,13.679,29.21
169598,0.314,0.979
169626,8.298,9.763
169640,12.186,8.184
169666,10.589,21.538
169683,4.362,2.104
169702,0.177,0.142
169706,0.436,0.755
169729,1.229,1.959
169736,12.25,5.177
169796,16.647,26.304
169798,4.479,0.289
169802,20.708,35.795
169823,6.602,9.679
169834,2.965,12.561
169859,0.095,0.049
169870,21.084,5.743
169873,3.756,2.914
169888,10.843,10.812
169901,0.695,1.835
169917,22.824,26.186
169931,19.93,10.447
170073,0.217,1.317
170082,8.26,9.305
170109,9.2,11.548
170139,1.605,27.659
170142,9.746,22.815
170153,8.208,13.18
170183,19.64,21.78
170192,27.058,29.758
170205,11.886,9.065
170209,14.008,17.102
170221,2.397,4.329
170224,18.81,38.058
170302,3.766,11.51
170305,6.163,46.011
170314,9.691,3.305
170317,14.64,33.375
170331,12.103,23.039
170333,7.921,8.563
170337,19.539,28.962
170339,7.774,15.798
170352,7.596,12.758
170370,2.11,6.213
170371,0.172,0.127
170387,9.97,7.717
170392,3.927,28.473
170395,0.161,0.173
170405,3.471,26.909
170410,6.116,22.869
170418,10.66,7.02
170425,0.173,0.385
170428,11.227,21.989
170431,5.167,15.657
170458,8.555,11.094
170474,7.998,5.597
170495,1.933,0.884
170513,11.25,9.951
170534,8.948,20.572
170544,6.031,27.324
170565,1.526,2.698
170568,1.299,8.763
170571,8.108,9.033
170586,18.451,22.242
170589,0.122,0.265
170590,0.796,37.906
170603,0.56,1.412
170643,4.909,42.557
170647,3.785,12.008
170648,6.531,1.134
170649,17.373,19.857
170658,6.468,17.196
170664,6.666,7.559
170678,6.64,6.557
170694,0.307,0.511
170696,6.965,17.711
170699,5.698,30.631
170705,0.403,0.946
170708,5.563,3.375
170711,5.149,19.184
170728,4.528,30.525
170729,10.568,16.616
170738,8.78,15.424
170745,8.638,20.244
170747,6.652,10.969
170758,1.056,1.195
170767,2.862,3.577
170794,0.277,4.144
170799,7.331,9.494
170810,7.48,39.185
170856,4.897,3.99
170945,22.466,36.913
170970,1.041,2.474
170995,1.869,0
171003,2.664,1.833
171008,12.152,24.508
171022,5.485,10.799
171029,0.094,3.673
171033,0.443,2.665
171034,3.217,4.188
171060,5.172,11.107
171065,13.621,29.261
171099,2.494,11.962
171104,7.085,6.852
171108,2.603,3.272
171162,1.455,2.668
171186,0.727,10.424
171283,4.527,2.844
171314,3.282,1.822
171350,1.943,0
171369,1.961,3.568
171397,3.505,2.544
171416,0.286,2.533
171452,6.177,15.841
171456,5.691,12.241
171466,0.855,1.377
171504,3.259,4.925
171523,1.221,0.401
171540,7.101,4.952
171587,14.504,18.402
171595,10.741,9.864
171606,4.054,2.256
171609,0.608,0.733
171644,13.965,3.9
171663,1.671,0.089
171672,9.438,10.233
171690,11.314,22.728
171693,0.135,0.135
171695,2.447,3.008
171715,0.229,0.382
171716,0.166,0.189
171718,4.399,9.845
171721,1.658,7.992
171725,10.856,10.393
171728,5.403,5.49
171749,3.191,2.647
171755,14.058,14.196
171766,0.317,8.392
171776,18.076,0.587
171777,1.397,0.496
171829,1.425,5.192
171831,0.514,0.667
171860,4.805,4.247
171861,4.642,5.905
171888,8.432,13.387
171934,11.555,9.373
171944,2.762,3.384
171949,33.499,47.201
171951,14.979,11.149
171954,1.66,8.686
171956,1.914,11.201
171983,2.544,9.877
171997,4.745,12.206
172006,9.175,10.879
172015,26.649,22.43
172023,6.234,7.823
172041,0.82,0.564
172069,6.742,10.398
172074,2.515,2.428
172083,7.637,3.408
172085,1.726,10.451
172086,15.28,8.917
172094,6.46,4.682
172104,4.666,13.231
172106,1.246,2.786
172111,4.671,3.968
172128,2.987,1.627
172158,8.42,11.15
172173,11.977,15.96
172181,6,2.804
172183,6.672,18.63
172187,0.145,0.359
172198,0.666,0.367
172207,0.637,0.509
172209,5.024,13.282
172212,0.426,0.828
172229,23.469,36.352
172231,0.079,0.061
172234,4.492,13.449
172239,5.061,7.781
172253,1.185,3.302
172255,9.921,5.863
172269,8.027,13.51
172270,9.587,27.308
172273,2.123,4.661
172311,16.236,23.468
172316,0.221,0.56
172334,5.392,13.048
172387,0.08,0.103
172391,0.611,1.911
172478,5.8,20.084
172481,20.258,20.817
172492,11.133,17.862
172499,4.458,4.034
172525,0.468,0.296
172529,1.083,1.053
172532,3.111,1.415
172544,1.384,1.477
172546,0.082,0.076
172573,6.852,16.803
172574,4.733,5.942
172582,16.559,38.008
172594,4.94,10.853
172600,1.184,1.481
172605,5.19,6.009
172607,0.805,1.669
172611,13.849,5.229
172623,10.296,8.628
172631,10.059,4.308
172637,15.081,52.037
172652,9.258,16.232
172684,26.459,51.932
172691,7.72,5.311
172701,8.788,13.891
172717,0.247,0.372
172759,8.715,14.295
172763,9.79,18.562
172766,5.116,2.645
172769,10.555,32.003
172810,0.78,0.596
172840,2.901,4.361
172853,8.319,10.033
172856,7.099,9.39
172866,9.592,11.168
172871,0.085,0.228
172873,0.115,0.192
172875,6.518,12.808
172878,10.787,11.745
172879,2.686,18.979
172886,12.436,7.384
172900,9.146,14.889
172901,17.611,11.39
172906,0.238,0.787
172933,5.394,10.616
172936,10.059,28.182
172942,2.177,2.164
172945,6.243,3.479
172965,2.344,1.909
172971,8.145,13.552
172981,3.128,1.395
173012,13.589,27.273
173049,8.267,30.741
173056,0.104,0.211
173061,38.865,61.857
173127,7.78,13.182
173143,2.998,6.739
173162,20.479,48.385
173203,1.333,1.949
173209,1.242,1.421
173223,3.425,6.469
173277,2.41,1.476
173278,13.479,23.883
173286,1.074,0.18
173339,1.769,0.534
173348,18.624,25.778
173367,25.361,37.564
173433,0.845,0.127
173475,19.72,22.748
173507,5.859,8.858
173519,0.365,0.394
173524,13.948,30.714
173581,1.469,1.648
173589,12.615,0.878
173595,24.86,60.589
173610,18.673,33.521
173692,21.975,52.682
173702,6.646,8.677
173706,10.837,64.844
173729,29.437,50.649
173734,5.176,44.899
173753,9.778,44.071
173758,1.926,6.694
173782,29.944,64.879
173793,28.033,47.852
173830,25.23,47.541
173867,7.388,21.674
173905,6.078,3.101
173909,6.477,26.395
173911,5.861,23.286
173927,10.061,53.861
173947,13.654,31.101
173955,1.1,3.835
173978,2.871,0.04
173984,0.108,0.127
173988,3.89,8.517
173993,15.87,12.405
174007,2.828,11.701
174011,5.299,2.958
174018,9.33,1.368
174030,1.172,10.415
174075,0.384,0.43
174079,7.103,3.671
174084,2.157,17.218
174094,6.771,6.626
174096,0.337,0.274
174107,0.998,22.99
174128,0.22,0.327
174137,4.29,17.207
174143,5.712,31.93
174157,0.142,0.209
174158,8.394,2.878
174173,1.742,1.98
174217,0.273,0.611
174237,9.215,46.302
174248,0.246,0.477
174253,0.289,0.086
174264,0.142,0.201
174285,1.03,1.625
174290,3.236,36.073
174296,6.889,29.508
174326,11.942,17.829
174328,4.111,20.93
174403,0.267,0.58
174409,16.296,24.242
174438,6.616,32.609
174445,7.818,22.01
174446,5.408,25.478
174458,0.254,0.519
174469,0.332,0.753
174549,0.101,0.125
174614,4.788,27.512
174761,3.874,3.267
174809,13.981,29.14
174887,4.76,11.55
174921,3.988,16.681
174927,13.969,38.633
174942,11.404,22.843
174954,0.072,0.355
174958,1.482,4.263
175077,0.781,30.689
175080,17.505,4.91
175099,2.145,6.726
175105,0.118,0.369
175113,4.76,33.88
175120,2.179,35.845
175124,3.419,37.458
175127,2.955,32.914
175149,0.075,0.545
175157,4.212,39.261
175178,0.914,2.641
175231,0.941,4.383
175240,5.665,21.822
175274,2.896,17.673
175307,0.814,34.033
175317,0.792,8.628
175327,3.108,12.261
175346,6.295,32.959
175460,2.039,6.126
175475,9.511,27.566
175486,0.125,0.085
175490,11.209,28.179
175536,9.376,14.29
175546,0.82,1.431
175560,10.546,17.332
175587,6.038,9.405
175602,1.179,0.869
175604,4.646,9.823
175612,5.171,19.307
175618,0.584,1.432
175622,9.302,8.731
175626,0.106,0.138
175639,1.029,2.62
175643,0.093,0.394
175647,9.897,30.469
175655,1.597,1.313
175667,7.943,13.136
175698,0.269,0.495
175740,4.797,6.412
175753,0.18,0.069
175764,8.286,0.265
175782,2.792,1.52
175815,6.402,13.628
175843,0.824,1.862
175850,3.147,8.671
175859,0.56,25.4
175878,1.088,20.42
175912,2.519,6.547
175992,0.335,0.587
176056,3.541,8.941
176062,2.011,3.577
176073,0.301,0.321
176095,4.756,24.113
176096,0.586,3.099
176109,3.983,24.565
176119,9.568,12.014
176137,10.789,24.498
176155,5.244,29.993
176213,0.178,0.352
176219,4.123,19.516
176280,1.185,4.017
176286,0.161,0.791
176326,10.956,23.46
176339,0.141,0.264
176376,6.162,19.755
176402,6.368,12.104
176488,4.938,32.47
176552,8.87,37.415
176599,2.753,13.833
176690,25.168,28.616
176691,8.92,37.979
176753,0.327,1.286
176956,20.12,35.808
176989,24.361,51.565
177096,17.401,49.725
177142,11.02,40.945
177167,25.522,7.228
177176,4.051,22.307
177198,6.667,31.481
177209,9.143,29.659
177215,10.618,8.132
177216,0.068,0.223
177316,8.498,10.259
177320,1.944,3.511
177398,2.386,1.028
177399,0.383,1.575
177400,10.18,50.274
177448,1.448,9.967
177466,7.501,12.734
177477,4.932,42.648
177491,0.123,0.677
177498,10.961,62.495
177560,11.375,45.968
177612,4.34,11.678
177746,0.339,0.652
177753,0.57,1.025
177755,0.174,3.057
177811,12.06,25.306
177820,0.24,5.391
177943,0.463,3.394
177956,0.251,0.536
177978,4.428,15.345
177981,11.757,32.1
177982,13.263,50.053
177995,3.702,20.641
178003,12.955,37.301
178005,3.699,16.322
178024,7.779,14.555
178025,2.541,7.956
178047,3.783,0
178059,7.212,39.271
178089,0.614,0.97
178093,8.862,46.269
178106,0.302,0.894
178111,0.108,0
178112,17.771,30.26
178131,3.976,26.73
178133,15.457,32.851
178144,14.452,39.267
178167,18.198,32.342
178179,11.477,55.907
178192,15.609,35.184
178195,22.486,40.214
178198,16.009,29.221
178210,13.46,40.282
178215,11.338,40.782
178234,8.461,57.987
178235,3.415,9.68
178299,12.407,35.734
178311,5.424,18.534
178343,15.8,29.651
178351,1.621,9.972
178385,11.084,38.33
178476,2.985,9.55
178492,4.837,8.58
178499,0.652,4.656
178509,0.169,0.485
178549,8.045,51.352
178569,1.696,3.335
178587,0.165,0
178598,20.365,47.461
178623,4.645,17.345
178628,18.117,36.675
178699,6.732,4.601
178736,2.792,5.2
178741,2.05,7.726
178874,1.874,5.165
178915,0.946,2.632
178957,0.395,0.025
178973,5.422,30.21
178984,0.789,2.91
179126,3.685,8.486
179464,0.072,0.057
179482,29.043,9.457
179569,20.39,37.865
179602,12.889,13.986
179656,1.606,26.754
179747,10.465,0
179817,0.594,5.667
179833,0.141,0.158
179912,0.099,1.277
179924,1.285,1.844
180297,13.832,23.11
180341,1.988,0.578
180381,22.073,23.631
180385,0.128,0.315
180394,5.412,46.519
180399,3.197,3.806
181157,0.156,0.076
181187,0.103,0.053
181239,0.117,0.023
181459,0.067,0.166
181814,0.07,0.048
181823,0.244,0.417
181830,0.097,0.053
181840,0.15,0.101
181993,0.066,0.032
182332,0.081,0.095
182428,0.384,0.597
182488,0.119,0.331
182507,0.193,0.046
182617,0.071,0.069
182828,0.137,0.18
182901,0.272,0.792
182922,0.151,0.379
183044,0.365,0.628
183232,0.134,0.164
183233,0.099,0.489
183234,0.14,0.126
183245,0.087,0.138
183366,0.116,0.309
183907,0.091,0.13
184262,0.106,0.026
184383,0.095,0.263
184443,0.104,0.079
184464,0.346,0.086
184488,0.107,0.331
184510,0.128,0.078
184546,0.111,0.102
184621,0.083,0.072
184651,0.178,0.192
184679,0.087,0.079
184685,0.1,0.029
184724,0.343,0.322
184772,0.167,0.163
184835,0.369,0.052
184841,0.1,0.084
184947,0.1,0.007
51,0.066,0.044
53,0.183,0.206
61,0.087,0.053
618,0.083,0.035
635,0.181,0.309
67,0.215,0.238
6960,0.132,0.16
6976,0.131,0.088
7055,0.102,0.162
7057,0.103,0.158
71,0.077,0.02
7137,0.11,0.062
72,0.086,0.101
7204,0.241,0.29
7222,0.196,0.3
7247,0.107,0.037
7249,0.09,0.076
7264,0.178,0.088
7299,0.159,0.418
7375,0.071,0.034
7376,0.226,0.051
744,0.081,0.068
7441,0.164,0.127
753,0.075,0.042
7583,0.085,0.072
762,0.114,0.124
764,0.077,0.147
77,0.104,0.163
775,0.126,0.216
776,0.127,0.108
777,0.116,0.105
781,0.086,0.138
7815,0.11,0.052
7862,0.096,0.104
796,0.084,0.084
80,0.07,0.096
8000,0.238,0.243
801,0.077,0.093
8036,0.149,0.117
8069,0.167,0.286
81,0.115,0.116
8109,0.199,0.216
8136,0.176,0.106
815,0.067,0.053
818,0.094,0.154
82,0.095,0.145
821,0.107,0.103
828,0.067,0.097
8286,0.158,0.123
829,0.134,0.037
8297,0.077,0.141
831,0.097,0.191
8311,0.077,0.118
8333,0.115,0.137
841,0.125,0.232
8468,0.193,0.059
852,0.293,0.115
855,0.229,0.516
856,0.11,0.172
860,0.517,0.171
861,0.074,0.094
8626,0.107,0.265
8643,0.13,0.186
8661,0.18,0.167
872,0.248,0.232
8729,0.21,0.169
876,0.078,0.118
87668,0.189,0.128
8786,0.12,0.098
8796,0.186,0.102
88288,0.203,0.226
8878,0.186,0.135
88934,0.109,0.075
8908,0.074,0.082
89191,0.075,0.066
8945,0.154,0.268
89911,0.075,0.04
8994,0.129,0.274
90250,0.098,0.08
90291,0.069,0.113
90425,0.161,0.323
90493,0.342,0.334
9056,0.295,0.321
90642,0.167,0.324
9066,0.161,0.155
9072,0.103,0.109
90732,0.119,0.049
90746,0.176,0.146
9080,0.112,0.111
90820,0.14,0.161
90871,0.204,0.16
9088,0.145,0.264
9093,0.111,0.172
9098,0.128,0.118
9105,0.238,0.312
9107,0.109,0.091
9116,0.147,0.164
9117,0.126,0.129
9120,0.092,0.085
91235,0.073,0.032
9126,0.209,0.15
91286,0.223,0.177
9132,0.072,0.078
91366,0.087,0.074
914,0.189,0.27
9141,0.193,0.339
9146,0.136,0.16
9147,0.112,0.326
915,0.115,0.147
9157,0.11,0.197
91618,0.119,0.128
9164,0.168,0.332
9166,0.077,0.117
9169,0.124,0.109
91699,0.178,0.196
91714,0.154,0.277
9176,0.129,0.195
9177,0.087,0.032
918,0.207,0.152
9183,0.178,0.223
919,0.244,0.029
9191,0.224,0.32
9197,0.179,0.262
9199,0.073,0.05
920,0.277,0.026
9201,0.129,0.201
9202,0.16,0.142
9205,0.222,0.206
9207,0.163,0.037
9209,0.115,0.144
9213,0.163,0.212
9218,0.219,0.218
92208,0.116,0.039
92240,0.069,0.091
9226,0.103,0.168
9228,0.124,0.209
9231,0.112,0.184
9232,0.168,0.223
9234,0.084,0.251
92355,0.257,0.421
9237,0.184,0.269
9238,0.088,0.151
9239,0.135,0.153
9240,0.075,0.093
9242,0.124,0.205
924202,0.151,0.08
9248,0.099,0.171
9250,0.343,0.259
9251,0.31,0.248
9252,0.141,0.079
92520,0.087,0.192
9255,0.191,0.156
9257,0.083,0.124
9258,0.149,0.09
9262,0.303,0.233
