0,0,0,4.575,7.19,0,0,0,15.033,0,0,0,0,0,0,0,0,0,0,0,11.765,22.876,0,0,15.686,8.497,19.608,0,0,20.261,7.843,0,0,30.719,11.111,15.686,0,29.412,0,37.908
14.13,0,28.261,25,0,0,0,0,32.609,0,15.217,0,0,6.522,0,0,9.783,9.783,0,0,7.609,5.435,31.522,0,7.609,13.043,11.957,7.609,17.391,0,0,16.304,26.087,18.478,13.043,0,9.783,0,0,9.783
10.87,0,29.348,16.304,0,0,5.435,0,8.696,0,9.783,0,0,6.522,0,6.522,0,16.304,0,0,13.043,8.696,19.565,0,7.609,5.435,14.13,0,17.391,5.435,0,13.043,20.652,0,16.304,0,0,0,0,9.783
0,0,55.435,11.957,0,0,11.957,11.957,7.609,6.522,17.391,0,0,0,0,11.957,0,7.609,0,0,18.478,30.435,20.652,0,7.609,18.478,9.783,0,9.783,6.522,0,16.304,19.565,0,6.522,0,0,16.304,0,9.783
3.261,2.717,8.696,0,5.978,4.348,16.848,8.152,0,8.696,3.261,7.065,3.804,14.674,2.717,7.609,8.696,8.696,0,6.522,11.957,5.435,17.935,0,0,16.848,16.304,5.435,3.804,7.065,8.152,9.783,8.696,4.891,30.435,4.891,17.935,13.043,4.348,10.87
9.315,1.644,15.89,2.732,0,0,23.014,7.923,2.192,2.74,3.014,8.743,1.644,0,3.288,2.186,3.562,19.178,0,1.366,4.11,3.288,6.027,6.011,13.973,2.466,4.11,0,6.027,13.699,5.753,5.191,5.205,0,16.986,14.754,16.438,1.37,6.849,10.109
4.11,0,21.096,0,0,0,10.685,1.366,0,1.37,3.562,0,1.644,0,1.644,2.186,15.616,21.37,0,0,2.192,1.644,7.945,1.639,12.055,4.932,3.014,1.913,4.384,16.986,1.37,0,3.288,2.74,32.877,16.94,13.151,1.37,26.575,9.29
0,0,4.384,4.098,9.041,3.014,15.89,10.929,8.493,8.493,1.644,0,4.932,9.589,8.219,4.645,29.315,22.466,1.644,0,0,3.562,9.315,0,1.918,2.466,0.548,1.913,30.411,12.055,3.562,0,7.945,0,16.164,15.847,0,14.247,34.247,40.71
0,10.137,9.315,25.683,2.74,10.411,0,11.475,6.027,11.233,0,10.929,1.37,3.562,2.192,10.383,10.685,28.767,3.014,0,8.219,16.712,8.219,0,0,0,1.918,0,6.849,1.37,1.644,3.825,16.164,6.027,39.178,6.831,11.507,14.247,42.192,16.12
3.836,2.74,2.192,19.126,5.753,10.685,7.123,2.459,4.658,14.521,0,2.459,2.466,9.041,12.877,1.913,4.932,12.055,4.932,4.098,18.904,35.616,10.137,1.639,3.836,3.836,2.192,3.005,8.219,0,0,12.568,11.781,8.493,23.836,6.557,11.507,9.315,34.247,13.388
3.014,4.11,0,13.388,10.411,4.932,3.288,3.005,0,20.274,1.37,1.366,4.658,8.219,4.932,0,0,3.288,2.192,4.372,9.315,12.603,8.767,3.005,1.918,11.781,10.137,0,12.055,1.644,3.288,13.388,4.384,10.685,16.438,6.557,12.329,9.041,15.89,9.29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.311,0,18.033,0,19.672,0,0,0,62.295,0,0,27.869,0,67.213,9.836,0
0,0,0,0,0,7.609,0,14.13,0,0,0,0,0,0,0,7.609,0,0,10.87,0,5.435,22.826,23.913,0,0,9.783,15.217,0,0,41.304,9.783,0,0,26.087,6.522,0,0,44.565,15.217,0
0,0,0,0,0,0,0,13.008,0,0,0,0,0,8.13,0,0,4.878,0,0,0,4.878,34.146,6.504,0,4.878,17.073,6.504,0,0,28.455,14.634,0,0,22.764,17.073,0,0,30.894,6.504,17.886
0,0,0,0,0,0,0,8.696,0,0,0,0,0,0,0,16.304,0,0,7.609,0,10.87,20.652,11.957,0,0,0,16.304,0,0,40.217,9.783,0,6.522,29.348,0,0,0,45.652,17.391,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.677,0,0,0,12.903,0,0,19.355,0,8.065,19.355,0,12.903,0,0,0,0,0,0,12.903,0,0,8.065,0,11.29,0
17.391,0,0,0,0,0,0,5.435,6.522,0,10.87,0,7.609,5.435,15.217,9.783,0,10.87,10.87,0,0,6.522,13.043,0,7.609,0,15.217,5.435,0,0,0,16.304,0,14.13,0,21.739,7.609,0,0,5.435
0,0,0,9.756,4.065,4.065,0,21.138,0,0,0,0,0,5.691,0,0,0,0,0,17.886,15.447,8.943,0,0,4.065,8.13,32.52,9.756,8.943,8.943,4.878,0,5.691,39.837,20.325,0,15.447,4.878,0,9.756
0,8.152,5.435,3.261,3.804,2.717,0,0,4.348,0,3.261,5.978,0,10.326,8.696,3.804,8.696,2.717,7.065,3.804,7.065,2.717,11.413,4.348,10.87,21.739,4.348,7.609,3.804,5.978,4.891,6.522,3.261,3.804,2.717,16.304,10.87,22.826,11.413,11.413
0,0,0,0,5.882,0,7.19,4.575,0,3.268,14.379,0,0,0,11.111,0,9.15,16.34,13.072,12.418,3.268,7.19,4.575,3.268,16.993,7.19,9.804,3.268,7.843,0,3.268,3.268,0,0,7.843,23.529,22.222,5.229,23.529,7.843
0,15.574,0,0,0,0,0,7.377,0,0,5.738,0,0,19.672,0,0,0,0,10.656,16.393,6.557,14.754,0,15.574,9.016,0,20.492,5.738,0,12.295,18.852,0,0,0,6.557,9.016,20.492,6.557,4.918,7.377
3.922,3.268,0,0,0,0,0,5.229,0,0,13.072,3.268,0,13.725,0,0,0,5.229,12.418,0,14.379,11.765,0,0,9.15,15.033,7.19,6.536,0,22.876,3.268,13.725,0,5.229,8.497,16.993,13.725,4.575,18.301,19.608
